crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar,Ganganagar,433.67001,Ganganagar,2.28452903
Finger Millet,,,,151,2017,10,Rajasthan,60575,22655,1213,Jaipur,Jaipur,339.779995,Jaipur,11.70924672
Finger Millet,,,,152,2017,10,Rajasthan,7838,3190,82,Jaisalmer,Jaisalmer,234.350001,Jaisalmer,0.69657652
Finger Millet,,,,153,2017,10,Rajasthan,29682,6176,1501,Jalore,Jalore,1351.240002,Jalore,23.49586326
Finger Millet,,,,154,2017,10,Rajasthan,30476,14084,346,Jhalawar,Jhalawar,697.7,Jhalawar,0.072560402
Finger Millet,,,,156,2017,10,Rajasthan,35672,17058,1783,Jodhpur,Jodhpur,259.889998,Jodhpur,1.93776392
Finger Millet,,,,157,2017,10,Rajasthan,82586,36328,1863,Kota,Kota,533.379991,Kota,0.214777129
Finger Millet,,,,158,2017,10,Rajasthan,24470,13532,1394,Nagaur,Nagaur,325.370004,Nagaur,2.442048603
Finger Millet,,,,159,2017,10,Rajasthan,13748,11119,604,Pali,Pali,589.130008,Pali,53.93162343
Finger Millet,,,,160,2017,10,Rajasthan,39972,12592,332,Sawai Madhopur,Sawai Madhopur,352.140004,Sawai Madhopur,0.215189671
Finger Millet,,,,161,2017,10,Rajasthan,15594,5243,286,Sikar,Sikar,303.709995,Sikar,3.325295158
Finger Millet,,,,162,2017,10,Rajasthan,14531,4303,406,Sirohi,Sirohi,1346.6699990000002,Sirohi,7.913595042
Finger Millet,,,,163,2017,10,Rajasthan,22553,9945,209,Tonk,Tonk,388.439999,Tonk,2.490306499
Finger Millet,,,,164,2017,10,Rajasthan,34494,10333,2659,Udaipur,Udaipur,303.500012,Udaipur,0.189476333
Finger Millet,,,,165,2017,9,Punjab,87626,16847,2293,Gurdaspur,Gurdaspur,13.5,Gurdaspur,0.115601796
Finger Millet,,,,166,2017,9,Punjab,137546,37153,5623,Amritsar,Amritsar,20.3700009998,Amritsar,2.620032594
Finger Millet,,,,167,2017,9,Punjab,43368,6625,2281,Kapurthala,Kapurthala,40.159999999,Kapurthala,13.36971351
Finger Millet,,,,168,2017,9,Punjab,84815,29066,4517,Jalandhar,Jalandhar,36.71999798980001,Jalandhar,0.0
Finger Millet,,,,169,2017,9,Punjab,55772,21295,3397,Hoshiarpur,Hoshiarpur,25.439999979,Hoshiarpur,5.393188916
Finger Millet,,,,170,2017,9,Punjab,27850,8908,2929,Rupnagar,Rupnagar,13.56999999,Rupnagar,4.353522972
Finger Millet,,,,171,2017,9,Punjab,167082,26004,2370,Ludhiana,Ludhiana,6.2999998898,Ludhiana,0.650642988
Finger Millet,,,,172,2017,9,Punjab,234282,61477,8041,Ferozepur,Ferozepur,13.61,Ferozepur,1.093388217
Finger Millet,,,,174,2017,9,Punjab,187996,33795,9297,Bathinda,Bathinda,4.8999998998,Bathinda,1.404511585
Finger Millet,,,,175,2017,9,Punjab,139068,36351,4210,Sangrur,Sangrur,2.7499999996,Sangrur,0.4048583
Finger Millet,,,,176,2017,9,Punjab,158811,21365,6382,Patiala,Patiala,11.085099862,Patiala,3.11327832
Finger Millet,,,,177,2017,4,Haryana,294303,93574,14466,Hisar,Hisar,212.465392,Hisar,3.181288008
Finger Millet,,,,180,2017,4,Haryana,86086,26452,4543,Gurugram,Gurugram,244.078736,Gurugram,7.170852083
Finger Millet,,,,181,2017,4,Haryana,100027,22141,4945,Jind,Jind,246.816832,Jind,62.86878792
Finger Millet,,,,182,2017,4,Haryana,69467,28506,3232,Mahendragarh,Mahendragarh,227.5327,Mahendragarh,0.067567311
Finger Millet,,,,183,2017,4,Haryana,110935,24676,5835,Ambala,Ambala,368.581908,Ambala,0.0
Finger Millet,,,,184,2017,4,Haryana,269227,53753,9657,Karnal,Karnal,316.704436,Karnal,96.5954103
Finger Millet,,,,186,2017,4,Haryana,119225,31168,3532,Rohtak,Rohtak,264.825716,Rohtak,23.60847211
Finger Millet,,,,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur,Saharanpur,592.29,Saharanpur,26.1007569
Finger Millet,,,,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar,Muzaffarnagar,448.320003,Muzaffarnagar,0.0
Finger Millet,,,,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut,Meerut,439.509997,Meerut,0.0
Finger Millet,,,,192,2017,12,Uttar Pradesh,75318,29161,6014,Bulandshahr,Bulandshahr,586.01001,Bulandshahr,53.79720919
Finger Millet,,,,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh,Aligarh,479.83999,Aligarh,63.80477885
Finger Millet,,,,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura,Mathura,305.649994,Mathura,52.17909284
Finger Millet,,,,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra,Agra,245.969998,Agra,17.90256009
Finger Millet,,,,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri,Mainpuri,548.679991,Mainpuri,83.43302191
Finger Millet,,,,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah,Etah,440.159997,Etah,77.89130485
Finger Millet,,,,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly,Bareilly,826.240009,Bareilly,12.03570477
Finger Millet,,,,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun,Budaun,654.770011,Budaun,29.65036509
Finger Millet,,,,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad,Moradabad,897.1,Moradabad,0.0
