crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,11.08,17.549999,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,Tehri Garhwal,1039.34999
Finger Millet,17.08,23.049999,0.0,243,2017,16,Uttarakhand,374,103,6,Pauri Garhwal,Pauri Garhwal,952.10999
Finger Millet,1.17,1.9400001,0.0,244,2017,16,Uttarakhand,3319,887,99,Dehradun,Dehradun,1146.29001
Finger Millet,,,,601,2017,17,Assam,18845,6022,5409,Cachar,Cachar,2143.05142
Finger Millet,,,,602,2017,17,Assam,17159,5484,4925,Darrang,Darrang,906.07673
Finger Millet,,,,603,2017,17,Assam,15212,4861,4367,Dibrugarh,Dibrugarh,1255.4399899999999
Finger Millet,,,,604,2017,17,Assam,30285,9638,8693,Goalpara,Goalpara,1984.6499900000001
Finger Millet,,,,605,2017,17,Assam,27341,8737,7849,Kamrup,Kamrup,1274.37878
Finger Millet,,,,606,2017,17,Assam,3226,1031,926,Karbi Anglong,Karbi Anglong,0.0
Finger Millet,,,,607,2017,17,Assam,10347,3306,2966,Lakhimpur,Lakhimpur,1775.56567
Finger Millet,,,,609,2017,17,Assam,15521,4960,4456,Nagaon,Nagaon,994.18001
Finger Millet,,,,626,2017,18,Himachal Pradesh,1915,107,45,Bilashpur,Bilashpur,933.140022
Finger Millet,,,,627,2017,18,Himachal Pradesh,1134,88,63,Chamba,Chamba,685.920001
Finger Millet,,,,629,2017,18,Himachal Pradesh,14180,2766,1409,Kangra,Kangra,1190.3000200000001
Finger Millet,0.02,0.0099999998,0.0099999998,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur,Kinnaur,392.039999
Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu,Kullu,721.359994
Finger Millet,,,,632,2017,18,Himachal Pradesh,182,183,109,Lahul And Spiti,Lahul And Spiti,673.3599939999999
Finger Millet,,,,633,2017,18,Himachal Pradesh,2429,474,253,Solan,Solan,624.739997
Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi,Mandi,985.429998
Finger Millet,0.63999999,0.89999998,0.40099999,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,Shimla,567.73001
Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,Sirmaur,753.0799999999999
Finger Millet,,,,651,2017,19,Kerala,9747,2587,2629,Alappuzha,Alappuzha,726.98999
Finger Millet,,,,652,2017,19,Kerala,11783,4305,7718,Kannur,Kannur,896.6299899999999
Finger Millet,0.029999999,0.050000001,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam,Kottayam,581.350009
Finger Millet,,,,656,2017,19,Kerala,9488,3722,7182,Kozhikode,Kozhikode,471.28999699999997
Finger Millet,,,,657,2017,19,Kerala,9128,3381,5504,Malappuram,Malappuram,382.879997
