,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
3732,Maize,0.80000001,4.0,1.0,186,2017,4,Haryana,119225,31168,3532,Rohtak
3736,Rice,197.13,502.64999,197.25999,186,2017,4,Haryana,119225,31168,3532,Rohtak
3740,Wheat,156.61,588.91998,182.991,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3742,Barley,0.050000001,0.13,0.838,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3746,Chickpea,0.02,0.0099999998,0.030999999,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3761,Rice,70.550003,185.44,93.632004,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3767,Minor Pulses,2.28,1.73,2.8299999,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3770,Wheat,135.25999,569.22998,136.713,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3775,Barley,0.19,0.52999997,1.128,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3777,Sesamum,0.02,0.0099999998,0.023,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3778,Rice,32.93,93.32,42.245998,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3788,Chickpea,0.0099999998,0.0099999998,0.029999999,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3797,Wheat,219.37,932.16998,223.005,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3802,Rice,52.41,145.28999,76.292,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3813,Sorghum (Kharif),0.0099999998,0.0099999998,0.13600001,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3815,Cotton,0.13,0.0099999998,0.36300001,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3818,Pearl Millet,15.58,29.91,17.84,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3820,Wheat,215.96001,968.15997,224.02699,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3822,Rice,102.1,304.57999,127.331,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3823,Minor Pulses,6.3200002,5.9200001,6.5819998,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3825,Chickpea,0.02,0.02,0.068999998,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3826,Pigeonpea,6.5999999,5.8499999,7.1220002,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3829,Sesamum,0.1,0.029999999,0.41800001,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3831,Sorghum (Kharif),0.0099999998,0.0099999998,0.029999999,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3832,Cotton,1.98,0.17,4.0760002,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3839,Pigeonpea,10.43,7.9499998,11.618,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3840,Rice,107.56,278.09,132.89,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3842,Groundnut,0.029999999,0.029999999,0.089000002,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3846,Minor Pulses,8.7799997,7.3200002,14.222,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3850,Rice,46.130001,83.540001,49.581001,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3863,Sorghum (Kharif),0.02,0.02,0.024,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3864,Maize,0.15000001,0.41999999,0.66600001,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3866,Pigeonpea,1.28,0.94999999,1.877,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3868,Barley,3.8699999,12.5,4.6869998,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3871,Minor Pulses,2.1700001,1.0599999,2.4389999,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3872,Rice,12.91,34.080002,18.582001,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3875,Minor Pulses,1.86,1.8099999,3.079,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3877,Cotton,0.33000001,0.0099999998,2.7119999,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3878,Maize,2.6400001,7.3800001,3.9990001,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3897,Groundnut,0.51999998,0.58999997,2.4349999,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3901,Rice,76.610001,226.59,84.067001,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3904,Chickpea,0.86000001,1.64,0.91000003,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3920,Groundnut,0.75,0.75999999,0.80199999,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3921,Wheat,229.73,904.14001,240.94901,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3922,Maize,56.52,145.03999,66.839996,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3924,Sorghum (Kharif),0.050000001,0.050000001,0.27700001,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3932,Rice,28.790001,71.300003,50.318001,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3933,Sesamum,0.79000002,0.23,1.101,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3942,Rice,145.23,357.42001,168.30499,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3946,Chickpea,0.02,0.02,0.022,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
